71	1	8 9
77	2	(6,14) (6,15) (6,16) (6,17) (7,14) (7,15) (7,16) (7,17)
8	2	(9,18) (9,19)
103	1	10 11
123	2	(8,16) (8,17)
32	2	(9,16) (9,17)
17	2	(4,10) (4,11) (5,10) (5,11)
85	2	(4,10) (4,11) (5,10) (5,11)
19	2	(6,16) (6,17) (6,18) (6,19) (7,16) (7,17) (7,18) (7,19)
83	2	(6,14) (6,15) (7,14) (7,15)
69	2	(4,16) (4,17) (5,16) (5,17)
64	2	(4,16) (4,17) (5,16) (5,17)
37	2	(6,16) (6,17) (7,16) (7,17)
79	2	(6,14) (6,15) (7,14) (7,15)
109	1	9
26	2	(6,14) (6,15) (7,14) (7,15)
101	1	8
54	1	9
107	2	(6,16) (6,17) (7,16) (7,17)
105	1	12 13
87	2	(6,14) (6,15) (7,14) (7,15)
41	2	(6,14) (6,15) (7,14) (7,15)
124	2	(8,16) (8,17)
81	2	(8,16) (8,17)
111	1	8
47	2	(8,20) (8,21)
48	2	(8,16) (8,17)
35	2	(6,16) (6,17) (6,18) (6,19) (7,16) (7,17) (7,18) (7,19) (8,16) (8,17) (8,18) (8,19)
5	1	9
10	1	9
116	2	(4,10) (4,11) (5,10) (5,11)
69	2	(6,16) (6,17) (7,16) (7,17)
12	2	(8,16) (8,17)
75	2	(8,18) (8,19)
22	2	(6,16) (6,17) (7,16) (7,17)
110	1	8 9
53	2	(4,12) (4,13) (5,12) (5,13)
56	1	10 11
82	2	(6,14) (6,15) (7,14) (7,15)
29	2	(6,14) (6,15) (7,14) (7,15)
94	2	(8,14) (8,15)
24	2	(6,14) (6,15) (7,14) (7,15)
110	1	6 7 8 9
90	2	(6,14) (6,15) (7,14) (7,15)
21	1	4 5
88	2	(6,12) (6,13) (7,12) (7,13)
72	2	(4,14) (4,15) (5,14) (5,15)
