15	21	29	38	74	121														
22	60	69	83	110	133	136													
10	16	36	53	61	73	85	89	93	99	108	131	135							
18	32	35	45	65	66	68	80	81	111	128	128	129	130						
17	25	31	39	40	55	64	79	87	88	91	92	94	95	97	98	127	134	138	
2	9	26	27	43	49	52	57	58	67	72	77	104	109	112	113	114	115	125	137
5	19	38	47	63	75	96	103	105	118										
7	14	48	59	62	70	74	89	90	102	107	117								
8	11	31	34	41	54	83	116												
24	60	120	36																
10	12	15	21	22	29	30	89	110	121										
61	69	81	82	85	86	87	88	91	93	97	135								
27	28	32	33	65	68	80	94	95	96	108									
16	35	36	37	40	48	49	50	51	66	73	92	113	127	138	139				
17	19	20	26	47	74	107	109	114	131	132	137								
2	3	4	39	53	55	56	58	64	72	104	105	106	111	112	125	26			
9	14	25	34	41	42	43	44	52	61	67	79	83	84	116					
7	18	45	46	57	59	60	75	76	99	100	101	115	117	120	133				
5	6	8	12	13	22	23	38	54	62	63	70	71	98	103	134				
10	11	77	78	102	118	119	121	122	123	125									
1	24	87																	
