39	40	59	73	99																				
61	62	65	68	72	120																			
2	11	44	63	64	66	69	70	113	117															
16	18	19	29	37	41	49	57	80	85	93	98	100	107	124										
12	17	25	26	43	46	48	50	75	78	82	88	94	115	116										
1	31	34	38	42	79	81	83	91	114															
3	22	27	36	52	55	84	86	92	123															
6	8	32	39	40	47	53	76	99	112															
12	24	30	59	77	87	90	122																	
2	14	16	44	45	61	62	65	95																
11	29	35	49	57	58	66	67	73	85	98	107	108	109	110	111	113	120	121						
1	9	10	17	34	40	48	78	80	82	88	89	114	115	116	118									
25	26	36	43	55	56	79	81	83																
2	18	37	41	42	50	51	70	71	84	86	92	93	94	99	100	101	102	103	104	105	106	124	125	126
8	19	20	21	24	27	28	32	33	38	68	72	76												
30	46	63	64	69	75																			
3	4	5	6	7	11	39	59	60	73	74	77	112												
13	13	35	52	61	62	87	90	117	122															
1	22	23	53	54	95	96	97	123																
14	15	31	36	47	91	118	119																
