59																			
61	62	63	65	68	73	120													
2	39	40	43	44	80	99													
17	18	49	66	70	93	98	100	113	115	116	117								
3	9	11	16	25	27	34	36	46	53	57	64	72	78	85	86				
1	24	29	31	38	41	42	50	76	79	82	83	84	88	90	91				
19	22	26	37	52	69	77	87	92	107	114									
12	35	47	48	55	75	81	94	112	122	123	124								
6	8	32	59																
14	30	39	40	99															
2	17	44	45	61	62	65	85	116											
16	34	36	43	49	80	95	98	115	120	121									
1	9	10	53	54	57	58	66	67	73	78	86	88	89	113	118				
11	25	27	28	29	41	76	79	82	83	84	90	114							
2	18	24	26	40	42	55	56	72	87	92	93	94	100	101	102	103	104	105	106
3	4	5	32	33	38	48	50	51	63	64	68	69	70	71	81	123			
12	13	22	23	37	46	77	99	107	108	109	110	111	124	125	126				
19	20	21	30	59	60	75	112	122											
6	7	8	35	36	52	61	62	73	74										
1	11	14	15	39	117														
31	47	91	95	96	97	118	119												
